value,mostly_missing,label
50.25146044218679,,x
49.73579027341739,,x
51.28084530088656,,x
50.20980023430608,,x
48.92866125367778,,x
50.72319010981897,,x
52.608000090260276,,x
51.894161926258484,,x
48.59252952838602,,x
47.46915705790789,,x
48.753451074925295,,x
50.082651958694484,,x
45.349938450722334,,x
49.56241667213491,,x
47.50817810549387,,x
48.535465290593095,,x
48.91148203428538,,x
49.36739968726169,,x
50.82326107274827,,x
52.085026738885354,,x
49.74293067411193,,x
52.73292694109937,,x
48.66961065302677,,x
50.70302014018604,,x
51.80694036330362,,x
50.188024595521746,,x
48.513001501292386,,x
48.15654924748316,,x
49.08454834866532,,x
50.4403902469401,,x
47.98076363292253,,x
49.58164885025657,,x
49.68154998017104,,x
51.08169116937162,,x
50.42931824501268,,x
50.710745418079846,,x
48.69234278116332,,x
49.74077273261446,,x
51.56795094012266,,x
52.98686229044152,,x
47.48186893579176,,x
53.027847549478125,,x
52.691750847564606,,x
51.562622801400856,,x
50.52891126065861,,x
49.37215437092714,9.338297427960965,x
52.916041367073916,9.563564752856779,x
53.92051663289993,8.830198092227135,x
53.60326973973225,11.739367877130134,x
52.63020752946874,9.504089271557849,x
50.71476082131791,10.328969629460202,x
47.58336273543566,9.741427454526075,x
49.99109173375983,11.583472878802123,x
51.31294987015267,11.32036098708184,x
47.423277072500895,10.633352622824916,x
50.790244120364015,7.796490119353349,x
50.85972738964446,10.052028974259887,x
51.39208544792574,10.683686190776534,x
47.63176406648562,11.003961575842169,x
5000.0,9.3820929552924,x
